,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
X.Deinococcus.soli..Cha.et.al..2014,0.04507082782068,0.0064219026354833,0.0061263213933043,0.0216810914921011,0.0165760717440786,0.0136435386861906,0.011296143413445,0.0252512113660046,0.0488959785723796,0.0076878139656292,0.0398364925174397,0.0080317147050392,0.0096583732764079,0.0470616958867507,0.03116220453576,0.0229054182085325,0.0292709146674233,0.0220312173598383,0.0075808576751651,0.027721514471671,0.0211622905873235,0.0189909760957267,0.022321424415915,0.0150149562242526,0.0085419081508647,0.0178998995060421,0.017176520739258,0.034302560578202,0.0277702806236153,0.0091129864904822,0.0141078903084008,0.0054896199995302,0.0354285127102111,0.0185345233657875,0.0217686513661691,0.0244048428702408,0.0145019832414841,0.0225243189046472,0.0076239296490404,0.020820351909013
Abaca.bunchy.top.virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001117002055842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abalone.herpesvirus.Victoria.AUS.2009,9.38323965732409e-05,1.92560798665169e-05,0.0003465619766285,4.67768964230877e-05,5.46163813643445e-05,0.0001689602314079,0.0002989773285491,0.0001193346472873,0.0001292689453334,2.23482964117128e-05,0.0001218241361389,9.24703995645965e-05,8.04864439700663e-05,0.0,0.0001416463842534,8.79286687467659e-05,0.0001247694572353,7.61009235227574e-05,0.0,7.43204141331663e-05,1.39777348661317e-05,0.0001078522068853,9.30835046535236e-05,3.40475197828858e-05,3.3485741147367e-05,0.0,0.0001216959971404,0.0,0.0,0.0,0.0,5.27848076877905e-05,0.0,0.0,0.0,0.0,8.0232272428681e-05,0.0,0.0,0.000480700765576
Abalone.shriveling.syndrome.associated.virus,0.0,4.81401996662921e-05,0.0001006147674082,0.0,2.73081906821723e-05,0.0,2.59980285694936e-05,2.38669294574713e-05,0.0,2.23482964117128e-05,4.87296544555838e-05,0.0004623519978229,0.0,0.00062748927849,0.0001011759887524,4.39643343733829e-05,0.0,0.0,0.0,0.0,0.0,8.98768390711157e-06,0.0001303169065149,1.70237598914429e-05,1.21766331444971e-05,0.000292072952313,0.0003129325640755,0.0,0.0,0.0002492914237517,2.89689739392214e-05,7.91772115316858e-05,0.0,8.19205452631493e-05,2.86429623239066e-05,0.0,0.0,3.42314876970322e-05,0.0,0.000300437978485
Abutilon.mosaic.virus,3.12774655244136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.10802967804961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthamoeba.polyphaga.mimivirus,0.0032215789490146,0.0003466094375973,0.0004695355812386,0.0009121494802502,0.0022938880173024,0.0015628821405233,0.0010399211427797,0.0020764228628,0.0051707578133382,0.0006481005959396,0.001169511706934,0.0011624850230977,0.0013883911584836,0.0015402009562936,0.0015783454245385,0.0021982167186691,0.0025203430361549,0.0025113304762509,0.0005356040748758,0.0012139000975083,0.0006289980689759,0.0004583718792626,0.0026063381302986,0.000732021675332,0.0003257249366152,0.0017941624213515,0.0012865005411994,0.0012593597415074,0.0008216059356099,0.0208850815009837,0.0045481289084577,0.0008181645191607,0.0018570565777047,0.0034816231736838,0.0013748621915475,0.0025561182058606,0.0023066778323245,0.0008900186801228,0.0001031527996795,0.0020429782536982
Acanthocystis.turfacea.Chlorella.virus.1,0.0003753295862929,1.92560798665169e-05,0.0,9.35537928461754e-05,0.0001092327627286,0.0005068806942237,6.49950714237339e-05,0.0007398748131816,6.46344726667279e-05,0.0002234829641171,0.0002436482722779,0.0,6.03648329775497e-05,0.0002281779194509,4.04703955009871e-05,0.0013628943655748,0.0001746772401295,0.0005707569264206,0.0002060015672599,0.0,0.0001537550835274,5.39261034426694e-05,9.30835046535236e-05,0.0001532138390229,5.78390074363612e-05,0.0005632835508894,0.0001390811395891,0.0001199390230007,0.0001232408903414,0.0001246457118758,0.0001738138436353,0.0,6.19018859234905e-05,0.0001433609542105,0.0001145718492956,0.0001217199145647,4.01161362143405e-05,0.0005477038031525,3.75101089743686e-05,6.00875956970071e-05
Acaryochloris.marina,0.000156387327622,9.62803993325843e-06,1.11794186009204e-05,0.0001403306892692,5.46163813643445e-05,0.0,9.09930999932275e-05,4.77338589149426e-05,0.0,4.46965928234257e-05,0.0001218241361389,3.96301712419699e-05,2.01216109925166e-05,5.70444798627282e-05,6.07055932514806e-05,0.0,0.0001497233486824,3.80504617613787e-05,0.0,7.43204141331663e-05,0.0002655769624565,2.69630517213347e-05,0.0001303169065149,5.10712796743287e-05,6.08831657224855e-06,0.0,5.2155427345925e-05,2.99847557501766e-05,8.21605935609921e-05,1.38495235417664e-05,0.0,0.0,0.0001031698098724,8.19205452631493e-05,8.59288869717199e-05,6.0859957282396e-05,4.01161362143405e-05,0.000102694463091,9.37752724359215e-06,0.0002103065849395
Acetoanaerobium.sticklandii,0.0335294430421714,0.008087553543937,0.0064393451141301,0.0150855490964458,0.0430923248964678,0.0139392190911545,0.007799408570848,0.0283061783365609,0.0234946308143556,0.0135207193290863,0.0225374651857075,0.010924717205703,0.0243270276899525,0.0301765298473832,0.0206399017055034,0.0411506169734864,0.0238309663319601,0.0437199805638241,0.0057474437265518,0.0491753406847784,0.0121466515986685,0.0026873174882263,0.0123056393151958,0.0115421092063983,0.0029558776958266,0.0144993358469688,0.0180631630041387,0.0267763868849077,0.0221833602614679,0.0071048055769261,0.0584593894093487,0.0058855060571886,0.019602263875772,0.0392809014536801,0.014407410048925,0.0243744128915996,0.0277001920560021,0.0143429933450565,0.002803880645834,0.025537228171228
Acetobacter.pasteurianus,0.0305893612828765,0.0047755078068961,0.0048630470914003,0.0099400904899061,0.0226384900755208,0.017740824297833,0.0102562222706652,0.0163011128194529,0.0218787689976874,0.0135877642183214,0.015106192881231,0.0085733270453461,0.0097992245533555,0.0189387673144257,0.0099354820954923,0.0167064470618855,0.0179917557333437,0.0227922265950658,0.0087962669219987,0.0192737607318678,0.0084145963894113,0.0062374526315354,0.0080424148020644,0.0074393830725605,0.003799109541083,0.0118289545686781,0.0184630212804575,0.0238378808213904,0.0310156240692745,0.0032407885087733,0.0181056087120133,0.0061230376917837,0.0307446033420003,0.0230811136278923,0.0130325478573775,0.0174363777614065,0.0320327347671509,0.0188273182333677,0.0089461609903869,0.0145712419565242
Acetobacter.pasteurianus.subsp..ascendens,0.0095396269849461,0.0013671816705227,0.0019005011621564,0.0044671936084048,0.0081105326326051,0.0082790513389887,0.0027947880712205,0.0037232409953655,0.0054292957040051,0.0044026143931074,0.006432314388137,0.0016644671921627,0.0062779426296651,0.0042783359897046,0.0041886859343521,0.0123100136245472,0.0052403172038865,0.0073056886581847,0.002657420217653,0.0093643721807789,0.0034944337165329,0.0022289456089636,0.0026994216349521,0.0022471363056704,0.0008675851115454,0.0043602319309589,0.0062934215664082,0.0094751828170558,0.0138440600150272,0.0015649961602196,0.003012773289679,0.00250727836517,0.0107709281506873,0.0045465902621047,0.0035230843658405,0.0046862167107444,0.0051148073673284,0.0049977972037667,0.0018473728669876,0.0045065696772755
